iter	RMSE
0	33488.09759
1	32258.30996
2	31102.0385
3	30012.50002
4	29000.88867
5	28037.15447
6	27099.7903
7	26235.97222
8	25398.9137
9	24627.82293
10	23901.92338
11	23224.29663
12	22560.79985
13	21908.95905
14	21322.26634
15	20760.91304
16	20241.80799
17	19750.37482
18	19285.02278
19	18861.72825
20	18441.96762
21	18065.64257
22	17696.81589
23	17345.19048
24	16987.63033
25	16651.56451
26	16348.3924
27	16060.15091
28	15772.77466
29	15504.57302
30	15260.88468
31	15039.91127
32	14819.77424
33	14591.22778
34	14395.34186
35	14209.83174
36	14017.47148
37	13855.7842
38	13687.18912
39	13520.03055
40	13357.77144
41	13238.58851
42	13123.2807
43	12989.84499
44	12880.87506
45	12770.88721
46	12678.4986
47	12580.40683
48	12500.9224
49	12401.59151
50	12298.01384
51	12210.44029
52	12111.14054
53	12017.09759
54	11934.10898
55	11874.42038
56	11810.35672
57	11754.643
58	11688.45665
59	11624.53348
60	11579.74239
61	11500.78137
62	11439.34251
63	11392.60067
64	11356.12165
65	11315.75347
66	11254.26157
67	11222.67432
68	11168.76362
69	11132.38134
70	11104.14397
71	11076.15244
72	11025.93105
73	10961.07264
74	10901.61969
75	10861.83222
76	10816.54066
77	10767.41845
78	10735.42612
79	10713.19089
80	10668.06953
81	10627.14354
82	10584.60409
83	10547.38627
84	10503.04615
85	10467.11082
86	10435.97394
87	10404.25145
88	10376.03684
89	10358.43947
90	10331.50953
91	10292.40896
92	10264.65748
93	10244.57766
94	10209.89082
95	10189.03874
96	10165.08783
97	10142.54516
98	10121.60885
99	10096.22876
100	10059.13379
101	10025.08381
102	10007.16682
103	9985.576174
104	9945.705196
105	9918.618556
106	9892.452277
107	9866.372974
108	9837.704071
109	9802.984905
110	9759.373603
111	9738.69701
112	9718.058344
113	9679.467819
114	9649.504249
115	9623.695271
116	9596.737723
117	9570.240027
118	9523.758197
119	9496.224821
120	9461.831892
121	9435.137939
122	9401.20853
123	9368.068473
124	9342.824925
125	9310.844766
126	9282.28936
127	9245.309032
128	9216.476813
129	9195.989389
130	9174.530715
131	9148.404555
132	9128.919086
133	9106.351698
134	9074.374793
135	9060.08931
136	9040.305841
137	9007.258815
138	8972.011937
139	8947.510487
140	8923.316659
141	8915.028768
142	8891.401748
143	8876.293429
144	8857.946756
145	8834.516325
146	8814.850493
147	8786.186089
148	8770.017265
149	8745.102329
150	8722.706797
151	8704.522641
152	8677.614187
153	8658.890081
154	8640.879651
155	8617.975455
156	8597.004538
157	8579.028761
158	8563.120204
159	8547.229249
160	8528.687934
161	8498.981303
162	8480.754774
163	8459.771679
164	8444.797094
165	8429.02997
166	8403.754957
167	8390.789192
168	8361.421249
169	8348.088342
170	8336.725334
171	8316.858602
172	8307.601604
173	8292.444448
174	8272.736138
175	8252.739356
176	8234.078969
177	8214.347779
178	8192.998639
179	8177.851943
180	8163.533776
181	8148.170683
182	8127.238496
183	8111.657796
184	8096.893218
185	8071.596885
186	8062.700616
187	8051.055329
188	8038.354678
189	8015.188825
190	8005.500445
191	7988.33207
192	7977.823609
193	7963.398617
194	7952.899194
195	7943.114328
196	7933.752522
197	7922.672505
198	7909.393221
199	7892.228328
200	7876.685565
201	7859.091581
202	7846.037249
203	7827.534902
204	7815.275362
205	7800.351483
206	7788.146808
207	7771.760409
208	7759.825972
209	7743.66511
210	7724.58451
211	7710.713063
212	7698.512425
213	7684.081542
214	7666.1239
215	7652.484478
216	7643.797258
217	7632.573548
218	7620.028097
219	7604.589089
220	7591.618525
221	7580.653149
222	7571.136504
223	7564.167787
224	7552.657972
225	7530.110361
226	7519.698618
227	7502.005342
228	7490.916522
229	7485.136986
230	7472.888378
231	7460.745724
232	7438.524448
233	7421.924382
234	7412.284254
235	7402.990733
236	7394.931475
237	7389.490706
238	7373.715661
239	7366.997012
240	7350.095042
241	7344.73466
242	7322.770295
243	7313.195462
244	7303.156846
245	7287.466647
246	7273.470428
247	7256.843418
248	7243.66815
249	7231.314308
250	7215.596152
251	7207.656267
252	7195.730225
253	7187.855852
254	7179.484554
255	7171.609692
256	7163.133089
257	7151.680925
258	7141.598272
259	7127.657946
260	7113.694568
261	7104.380188
262	7090.826912
263	7083.944144
264	7073.963818
265	7066.993852
266	7057.309572
267	7045.159945
268	7033.576869
269	7022.808572
270	7013.344581
271	6999.954375
272	6991.896525
273	6980.381346
274	6968.239733
275	6960.431401
276	6949.555433
277	6941.733434
278	6931.403751
279	6922.124368
280	6911.107537
281	6903.797448
282	6895.600258
283	6885.857562
284	6875.06312
285	6867.701705
286	6858.350593
287	6843.468185
288	6837.23936
289	6822.845012
290	6814.291939
291	6806.081186
292	6795.91969
293	6786.39987
294	6775.598534
295	6764.935402
296	6762.361137
297	6754.47363
298	6738.774702
299	6724.807617
300	6713.481319
301	6706.483162
302	6694.082682
303	6686.361368
304	6673.519981
305	6662.054204
306	6649.00721
307	6639.716933
308	6630.643782
309	6621.107441
310	6613.758727
311	6603.428903
312	6593.680949
313	6588.634168
314	6583.261247
315	6574.503459
316	6567.446561
317	6559.991181
318	6551.903534
319	6545.888576
320	6535.970234
321	6526.626959
322	6518.399841
323	6511.206377
324	6501.702017
325	6493.505275
326	6485.570446
327	6477.682674
328	6469.682663
329	6459.084381
330	6453.164191
331	6446.268799
332	6439.830265
333	6431.622704
334	6424.12595
335	6419.189478
336	6412.213319
337	6406.82148
338	6399.105315
339	6388.461642
340	6381.929203
341	6376.329141
342	6368.382706
343	6366.690466
344	6355.766145
345	6348.935966
346	6341.386859
347	6332.174355
348	6325.89038
349	6314.056259
350	6307.995384
351	6300.341875
352	6287.733681
353	6284.180284
354	6277.175976
355	6267.783775
356	6262.921599
357	6248.469209
358	6243.625288
359	6236.169328
360	6230.18001
361	6221.175151
362	6213.67615
363	6206.942511
364	6199.832541
365	6193.138734
366	6184.428632
367	6182.149866
368	6176.170088
369	6168.13399
370	6163.276212
371	6154.988448
372	6145.363773
373	6139.98408
374	6127.427876
375	6124.474245
376	6118.706894
377	6110.398583
378	6107.100037
379	6100.633553
380	6091.739361
381	6087.139155
382	6080.014543
383	6072.97729
384	6066.521121
385	6064.697493
386	6055.733286
387	6047.984222
388	6038.812134
389	6035.695418
390	6029.116917
391	6021.749796
392	6015.875742
393	6005.674354
394	5999.677473
395	5996.375396
396	5985.973215
397	5979.368548
398	5975.35046
399	5967.327197
400	5958.066998
401	5954.569983
402	5950.497064
403	5945.140989
404	5941.81406
405	5931.621566
406	5924.754975
407	5920.001486
408	5914.04091
409	5907.194097
410	5899.499194
411	5894.919219
412	5891.085528
413	5887.161204
414	5884.850253
415	5882.175897
416	5878.312132
417	5873.294647
418	5864.46749
419	5858.609535
420	5852.18411
421	5848.297956
422	5840.472834
423	5832.959474
424	5826.480875
425	5820.503856
426	5815.10073
427	5812.36366
428	5804.728515
429	5802.429097
430	5799.826783
431	5794.101977
432	5789.929091
433	5787.107779
434	5778.273575
435	5773.365278
436	5769.093353
437	5764.056896
438	5762.274257
439	5756.534924
440	5750.775253
441	5743.47511
442	5740.157455
443	5734.544122
444	5729.859353
445	5719.678343
446	5715.777078
447	5712.899741
448	5706.75329
449	5702.824416
450	5699.09691
451	5692.93302
452	5688.228531
453	5683.871133
454	5680.717703
455	5669.955255
456	5668.101089
457	5662.686141
458	5649.687527
459	5643.821936
460	5641.37244
461	5634.601756
462	5627.352845
463	5621.402941
464	5610.328898
465	5605.090168
466	5600.223506
467	5596.730635
468	5592.749483
469	5587.918371
470	5579.277926
471	5574.224279
472	5569.764666
473	5564.527412
474	5556.571017
475	5552.981245
476	5550.252915
477	5545.098203
478	5534.282739
479	5528.54874
480	5524.501672
481	5517.682034
482	5511.393216
483	5509.117952
484	5504.788056
485	5502.488863
486	5498.628309
487	5494.426242
488	5487.585823
489	5482.857566
490	5474.925473
491	5467.494617
492	5464.799531
493	5462.00688
494	5457.651062
495	5451.167504
496	5444.54649
497	5440.279459
