iter	Passed	Remaining
0	199	179427
1	421	189242
2	632	189160
3	833	186661
4	1031	184683
5	1232	183574
6	1439	183603
7	1639	182850
8	1828	181051
9	2029	180604
10	2211	178721
11	2415	178783
12	2639	180122
13	2860	181025
14	3074	181414
15	3319	183394
16	3529	183314
17	3744	183498
18	3962	183721
19	4177	183823
20	4403	184334
21	4618	184311
22	4833	184315
23	5045	184160
24	5299	185496
25	5515	185419
26	5743	185711
27	5965	185794
28	6207	186424
29	6442	186818
30	6675	187123
31	6900	187170
32	7148	187799
33	7345	187102
34	7563	186927
35	7787	186900
36	8028	187254
37	8232	186740
38	8459	186750
39	8717	187423
40	8955	187635
41	9180	187551
42	9379	186944
43	9619	187139
44	9870	187531
45	10093	187395
46	10293	186811
47	10524	186803
48	10721	186201
49	10985	186752
50	11210	186622
51	11448	186703
52	11717	187254
53	11936	187004
54	12133	186417
55	12332	185875
56	12510	185019
57	12673	183981
58	12889	183730
59	13084	183183
60	13264	182446
61	13454	181853
62	13631	181109
63	13838	180771
64	14004	179909
65	14174	179111
66	14399	179022
67	14571	178286
68	14732	177426
69	14922	176939
70	15111	176445
71	15291	175853
72	15485	175436
73	15683	175066
74	15885	174745
75	16073	174269
76	16264	173837
77	16438	173238
78	16647	173011
79	16803	172236
80	17016	172052
81	17213	171718
82	17438	171649
83	17653	171490
84	17857	171224
85	18051	170860
86	18274	170767
87	18489	170604
88	18731	170685
89	18917	170259
90	19114	169926
91	19319	169671
92	19522	169406
93	19722	169113
94	19932	168898
95	20139	168671
96	20362	168567
97	20551	168189
98	20778	168118
99	20963	167710
100	21176	167528
101	21391	167359
102	21649	167519
103	21871	167397
104	22057	167010
105	22227	166497
106	22447	166366
107	22658	166161
108	22847	165801
109	23060	165618
110	23291	165560
111	23519	165475
112	23744	165371
113	23914	164886
114	24117	164627
115	24324	164401
116	24500	163962
117	24715	163790
118	24898	163407
119	25131	163353
120	25352	163220
121	25557	162982
122	25780	162856
123	25969	162521
124	26189	162374
125	26382	162061
126	26581	161789
127	26793	161599
128	26977	161236
129	27164	160896
130	27392	160798
131	27611	160646
132	27825	160465
133	28020	160174
134	28252	160098
135	28473	159954
136	28691	159793
137	28894	159546
138	29107	159360
139	29292	159016
140	29504	158822
141	29693	158503
142	29899	158279
143	30101	158030
144	30304	157793
145	30503	157530
146	30715	157339
147	30900	157006
148	31152	157015
149	31360	156802
150	31574	156617
151	31766	156326
152	31957	156027
153	32188	155923
154	32400	155731
155	32598	155468
156	32822	155332
157	33032	155126
158	33223	154834
159	33404	154497
160	33592	154193
161	33777	153876
162	33982	153650
163	34223	153590
164	34423	153340
165	34623	153096
166	34866	153036
167	35066	152789
168	35277	152591
169	35480	152355
170	35667	152057
171	35837	151683
172	36040	151452
173	36258	151287
174	36431	150930
175	36663	150821
176	36871	150610
177	37098	150478
178	37310	150283
179	37530	150123
180	37742	149925
181	37949	149712
182	38167	149540
183	38400	149429
184	38600	149184
185	38829	149055
186	39060	148932
187	39283	148777
188	39531	148712
189	39761	148583
190	40003	148493
191	40197	148229
192	40424	148083
193	40643	147910
194	40856	147712
195	41080	147554
196	41269	147271
197	41499	147136
198	41694	146874
199	41914	146701
200	42139	146543
201	42341	146309
202	42561	146134
203	42780	145957
204	42992	145753
205	43194	145520
206	43381	145233
207	43601	145057
208	43843	144955
209	44072	144810
210	44287	144615
211	44528	144506
212	44745	144320
213	44982	144194
214	45190	143978
215	45406	143787
216	45633	143628
217	45816	143334
218	46053	143206
219	46285	143065
220	46473	142786
221	46674	142547
222	46849	142227
223	47047	141981
224	47249	141748
225	47470	141572
226	47664	141314
227	47888	141145
228	48124	141011
229	48317	140749
230	48534	140560
231	48735	140325
232	48953	140137
233	49161	139919
234	49367	139700
235	49578	139490
236	49799	139312
237	50005	139090
238	50218	138887
239	50434	138693
240	50664	138537
241	50876	138334
242	51076	138096
243	51286	137883
244	51490	137659
245	51723	137508
246	51936	137305
247	52120	137025
248	52353	136876
249	52576	136697
250	52802	136528
251	53025	136351
252	53241	136155
253	53453	135948
254	53708	135850
255	53902	135598
256	54122	135412
257	54357	135260
258	54542	134986
259	54721	134699
260	54912	134440
261	55100	134176
262	55280	133892
263	55488	133676
264	55714	133505
265	55916	133275
266	56136	133088
267	56348	132880
268	56560	132674
269	56786	132501
270	56984	132262
271	57207	132082
272	57433	131908
273	57622	131648
274	57818	131404
275	58001	131133
276	58215	130933
277	58424	130718
278	58645	130533
279	58822	130249
280	59000	129969
281	59238	129821
282	59462	129641
283	59626	129329
284	59801	129046
285	60021	128857
286	60247	128680
287	60471	128500
288	60683	128295
289	60880	128058
290	61112	127894
291	61289	127616
292	61507	127424
293	61697	127173
294	61926	127002
295	62166	126852
296	62386	126662
297	62572	126405
298	62774	126178
299	63019	126038
300	63235	125840
301	63451	125641
302	63664	125437
303	63860	125200
304	64087	125022
305	64297	124811
306	64519	124625
307	64760	124475
308	64986	124294
309	65157	124009
310	65332	123733
311	65545	123528
312	65753	123313
313	65962	123102
314	66163	122875
315	66351	122624
316	66546	122387
317	66742	122150
318	66971	121976
319	67144	121698
320	67401	121574
321	67630	121399
322	67838	121185
323	68035	120952
324	68268	120781
325	68502	120614
326	68707	120396
327	68895	120147
328	69066	119870
329	69280	119665
330	69493	119461
331	69719	119278
332	69917	119048
333	70087	118770
334	70252	118486
335	70452	118259
336	70680	118080
337	70876	117847
338	71062	117599
339	71258	117367
340	71485	117186
341	71706	116994
342	71937	116820
343	72155	116623
344	72365	116414
345	72588	116225
346	72832	116070
347	73032	115844
348	73236	115625
349	73451	115423
350	73682	115246
351	73912	115067
352	74141	114888
353	74372	114709
354	74617	114554
355	74811	114319
356	75009	114089
357	75209	113864
358	75449	113699
359	75620	113431
360	75803	113179
361	76013	112969
362	76220	112755
363	76468	112601
364	76631	112323
365	76853	112130
366	77079	111944
367	77286	111729
368	77478	111492
369	77653	111233
370	77840	110990
371	78045	110773
372	78246	110552
373	78465	110355
374	78670	110139
375	78868	109912
376	79045	109657
377	79250	109441
378	79471	109247
379	79708	109074
380	79944	108901
381	80167	108708
382	80405	108536
383	80639	108359
384	80839	108136
385	81077	107963
386	81297	107766
387	81481	107521
388	81699	107321
389	81917	107122
390	82124	106909
391	82348	106716
392	82590	106547
393	82798	106334
394	83035	106159
395	83264	105972
